response_id	property_id	stay_date_weekday	season	purpose	channel	loyalty_tier	room_type	stay_nights	lead_time_days	rate_usd	issue_reported	cleanliness_score	staff_friendliness_score	checkin_score	room_comfort_score	value_for_money_score	wifi_score	breakfast_score	noise_level_score	problem_resolution_score	overall_satisfaction_score	likelihood_to_recommend	comment_text
R000001	H002	Sun	Summer	Leisure	Direct	Gold	Standard	3	19	147.16	0	6	6	9	6	5	8	7	10	9	7	6	great service from the team; could be better
R000002	H007	Sun	Fall	Business	OTA	Gold	Standard	6	15	175.62	0	6	4	4	4	8	8	8	6	6	6	6	issue was resolved quickly; okay overall
R000003	H015	Sat	Winter	Leisure	Corporate	None	Standard	5	7	80.0	0	3	4	5	4	3	4	5	3	1	4	4	great view from the room; fees felt high; won’t be back
R000004	H009	Thu	Spring	Leisure	Direct	None	Premium	7	20	236.78	0	3	4	4	3	2	8	3	5	4	4	4	fees felt high; won’t be back
R000005	H004	Thu	Summer	Business	Direct	None	Standard	2	17	291.81	0	3	4	3	1	3	3	2	2	1	2	1	good value; needs improvement
R000006	H020	Thu	Spring	Leisure	OTA	None	Standard	7	1	149.07	1	4	8	5	3	3	4	3	7	7	5	5	front desk was unhelpful; good value; okay overall
R000007	H004	Tue	Summer	Leisure	Corporate	None	Standard	4	31	245.5	0	4	2	2	4	3	5	5	5	5	5	4	keys didn’t work at first; limited breakfast options; could be better
R000008	H002	Sat	Summer	Leisure	OTA	Diamond	Suite	6	7	166.95	0	4	6	4	5	6	6	3	7	5	5	5	slow response from staff; met expectations
R000009	H008	Fri	Fall	Business	Corporate	None	Standard	6	1	138.86	0	1	3	5	4	5	3	2	1	8	4	3	breakfast was great; not what I expected
R000010	H003	Fri	Winter	Business	OTA	None	Standard	5	11	152.09	0	2	1	1	5	1	1	3	3	3	2	1	bathroom could be cleaner; needs improvement
R000011	H012	Tue	Spring	Business	Direct	Gold	Standard	4	7	180.14	0	8	8	8	9	8	9	7	9	7	8	9	bed was comfortable; could be better
R000012	H009	Tue	Fall	Leisure	OTA	Silver	Standard	6	15	131.72	0	5	10	9	6	6	8	9	9	10	8	8	fees felt high; bed was comfortable; okay overall
R000013	H019	Sun	Spring	Leisure	Direct	None	Premium	4	3	211.37	0	4	6	7	7	7	7	7	6	5	5	5	breakfast was crowded; could be better
R000014	H004	Tue	Summer	Leisure	Corporate	None	Premium	7	23	143.84	0	7	6	4	4	6	4	6	1	1	5	4	AC was loud; noise from hallway; okay overall
R000015	H006	Mon	Winter	Business	Direct	Diamond	Standard	5	35	110.61	0	4	1	6	3	1	7	5	6	4	3	3	bed was comfortable; not what I expected
R000016	H014	Fri	Spring	Business	Direct	None	Premium	5	19	173.81	0	6	6	7	5	4	5	4	6	5	5	5	good coffee; could be better
R000017	H014	Fri	Summer	Leisure	OTA	Silver	Standard	5	1	133.36	0	7	8	7	8	6	8	5	9	7	7	8	cleaning was excellent; met expectations
R000018	H008	Mon	Spring	Business	OTA	Gold	Premium	2	7	155.36	0	7	7	5	6	8	8	7	5	7	8	8	great view from the room; could be better
R000019	H019	Tue	Summer	Leisure	OTA	None	Standard	6	21	171.74	1	3	3	5	6	2	1	3	6	4	3	2	limited breakfast options; slow response from staff; not what I expected
R000020	H017	Sat	Summer	Leisure	OTA	Gold	Standard	2	0	94.62	0	6	4	4	5	7	4	5	4	10	6	6	great view from the room; okay overall
R000021	H013	Sun	Fall	Leisure	Group	None	Premium	5	3	262.53	0	5	7	8	7	5	4	7	7	6	5	4	great view from the room; okay overall
R000022	H015	Thu	Fall	Business	Corporate	None	Premium	6	0	223.76	0	1	2	3	5	4	4	2	5	5	2	3	issue was resolved quickly; not what I expected
R000023	H011	Sat	Spring	Leisure	Corporate	None	Premium	4	19	137.2	0	4	4	3	3	6	5	7	5	7	5	5	room felt small; could be better
R000024	H010	Wed	Winter	Leisure	OTA	Diamond	Standard	7	44	173.85	0	10	8	7	9	6	9	9	8	9	9	8	slow response from staff; great stay overall
R000025	H011	Fri	Fall	Leisure	OTA	None	Premium	2	3	213.15	0	1	4	2	4	1	6	4	1	3	3	3	cleaning was excellent; won’t be back
R000026	H017	Thu	Spring	Business	OTA	None	Standard	2	28	187.52	0	6	2	7	6	8	4	5	4	1	5	6	great view from the room; could be better
R000027	H001	Sat	Spring	Business	OTA	Diamond	Standard	3	11	287.79	1	5	9	5	6	2	4	5	3	10	6	5	good value; could be better
R000028	H003	Sat	Winter	Business	Direct	None	Standard	7	2	160.68	0	3	5	4	3	2	1	2	1	5	3	4	could hear neighbors; needs improvement
R000029	H010	Wed	Summer	Business	OTA	Gold	Standard	4	37	246.34	1	8	8	10	7	4	5	5	8	9	7	8	internet was reliable; could be better
R000030	H012	Tue	Spring	Leisure	Direct	Silver	Standard	2	44	94.92	0	6	7	7	7	7	4	3	7	9	6	7	could hear neighbors; problem wasn’t resolved; okay overall
R000031	H004	Sat	Winter	Leisure	Direct	Silver	Premium	7	23	104.15	0	5	10	7	7	6	7	9	8	8	7	7	room was spotless; okay overall
R000032	H013	Mon	Summer	Leisure	Corporate	Gold	Standard	3	22	276.07	0	5	4	4	4	3	5	5	4	3	3	3	wifi kept dropping; needs improvement
